video_id,country,category,days_trending,best_rank,peak_views,peak_likes
10x5dwCtZ3c,GB,Other,1,46,109040,10859
11BoZxZylPg,GB,Sports,1,27,154361,11552
11BoZxZylPg,US,Sports,1,37,163755,11860
11CnT0zLMfo,IN,Other,1,17,895311,34465
11gcNa-TBRA,GB,Movie/TV Trailer,1,11,856627,4297
11gcNa-TBRA,US,Movie/TV Trailer,1,14,877376,4406
11i8OwHI_No,IN,Other,3,10,651883,1471
11oxApuoUeo,GB,Other,3,30,614180,20525
120i7ln07k0,US,Other,1,44,0,0
14-kYdSI8Dw,GB,Other,1,43,91303,431
1441_l-c0-8,GB,Other,1,25,205688,29384
147ZaDQIFA4,GB,Other,1,23,334902,1309
14IA7mkz5Aw,IN,Other,2,28,972602,26895
153uJDL4Y7s,GB,Movie/TV Trailer,2,2,773704,15527
153uJDL4Y7s,IN,Movie/TV Trailer,2,39,773800,15544
153uJDL4Y7s,US,Movie/TV Trailer,2,4,781530,15628
15Cjp_JZLJ8,GB,Other,1,47,64592,290
15QvNTiQMps,GB,Other,1,42,437149,24042
15QvNTiQMps,US,Other,1,47,447060,24282
15VZCVoaJ7s,GB,Other,1,42,213557,21731
15aaQL3SMAo,IN,Other,1,30,404385,2264
15bEKqahsaI,US,Other,1,44,0,0
15mR4-qIbUk,GB,Other,1,41,380407,29334
15mR4-qIbUk,US,Other,1,26,390360,29689
166IwIe7ke8,US,Other,2,10,201399,14291
16fz03Fesrs,US,Sports,1,24,0,0
16kMv8u1HuQ,GB,Other,1,39,68632,2822
17Q1b4yFtHE,IN,Other,3,10,1072766,2728
17vcngBqKmg,GB,Music,1,22,137662,12426
18XN3U0lP7Y,GB,Music,1,24,44257,231
18uFT__WI2U,GB,Reaction,2,10,356824,16348
18uFT__WI2U,IE,Reaction,3,25,388610,17167
18uFT__WI2U,US,Reaction,2,16,358153,16373
19E0cV45etU,US,Other,1,45,51375,441
19I5a1tRt98,GB,Movie/TV Trailer,2,23,2285330,5630
19I5a1tRt98,US,Movie/TV Trailer,1,17,1055981,3414
19uXlyhvR9Q,GB,Other,1,16,155280,2893
19v34QoBD7I,IN,Movie/TV Trailer,1,40,338748,11599
19xAkDMN4NQ,US,Other,1,36,0,0
1BiwllrQaqk,GB,Other,1,33,20000,214
1BzVOWfZl1s,IN,Gaming,1,12,1294489,57691
1CW0DP3zJEU,GB,Sports,1,30,270959,11845
1CXSj5hxzks,IN,Movie/TV Trailer,3,29,622257,16415
1Ce9cH-1Whg,IN,Other,1,16,155815,387
1CunNyk728M,US,Other,1,43,30289,1277
1CvMNYpJ4QI,IN,Movie/TV Trailer,1,33,54438,1606
1DMjuXWvjWA,US,Other,1,44,116293,5598
1E2Dmm8fyWc,GB,Movie/TV Trailer,1,38,20517,271
1Eh1Ehul0Qo,GB,Other,1,9,436236,3757
1Eh1Ehul0Qo,US,Other,1,47,436737,3763
1EwpPkpsSh0,GB,Movie/TV Trailer,1,7,208173,13527
1EwpPkpsSh0,US,Movie/TV Trailer,1,13,212281,13644
1H9dU3gNW5o,IN,Other,3,9,905695,116609
1IzZezTfwE0,GB,Other,1,7,622232,116119
1IzZezTfwE0,US,Other,1,4,633385,116863
1J6TJ9HXvDk,IN,Music,1,36,75654,173
1JdemHlOyN4,GB,Movie/TV Trailer,2,16,179430,5280
1JdemHlOyN4,US,Movie/TV Trailer,2,7,181291,5306
1JkAa64U1Ko,US,Other,1,13,0,0
1KkJFYJBwoY,GB,Reaction,1,48,160550,6636
1KkJFYJBwoY,US,Reaction,1,48,174650,6972
1KymG_sGrMY,US,Other,1,24,3488469,27775
1LafsWma0OU,GB,Movie/TV Trailer,1,23,38335,1993
1LafsWma0OU,US,Movie/TV Trailer,1,8,46046,2164
1Lf7Gt29XVg,US,Other,1,18,0,0
1LutQSQ-GWY,GB,Other,2,19,75621,2806
1Mkqg9pHl6c,GB,Gaming,1,45,278245,3745
1NHS5OP73Sc,GB,Movie/TV Trailer,3,8,1355202,37484
1NHS5OP73Sc,IE,Movie/TV Trailer,14,8,1933902,46276
1NHS5OP73Sc,US,Movie/TV Trailer,4,5,1512781,40257
1Ng4_XNQWjk,GB,Movie/TV Trailer,1,35,36642,2328
1NqGLjfpYtI,GB,Movie/TV Trailer,1,32,92732,6659
1OXmO0jnQfE,GB,Other,1,40,317882,8098
1Od5hSoBtlY,IE,Other,1,39,682062,37910
1OnD-3X4rqg,IN,Movie/TV Trailer,1,43,114675,1080
1PEJKEpveoE,GB,Other,1,12,61068,1695
1PfnLwNvXCc,IN,Music,2,22,442021,63690
1Pm00nMTr14,IN,Other,2,30,368423,1506
1QJH4eTHonY,IN,Gaming,2,12,1021241,12113
1QJbrlX63pE,IE,Sports,2,30,729099,23368
1QJbrlX63pE,US,Sports,1,32,199463,9170
1Qu-ZZvV_Yg,IN,Sports,1,48,145885,2795
1RZLTuaG6_k,US,Other,1,25,234881,509
1RlTT-f_cIw,GB,Movie/TV Trailer,1,20,708338,18283
1RlTT-f_cIw,IE,Movie/TV Trailer,3,35,838617,20470
1RlTT-f_cIw,US,Movie/TV Trailer,1,23,714518,18392
1RsNkKEbYdQ,GB,Other,1,43,755386,3921
1RsNkKEbYdQ,IN,Other,2,28,1196832,5822
1T4Ng_6Bp7s,GB,Other,1,9,206828,14120
1TYIywPGXjY,IN,Gaming,1,42,299177,1480
1Tm51S0zRkk,IN,Other,1,39,229738,0
1TrG_J5q_wM,US,Other,1,6,0,0
1UQhyfQuxTE,IN,Other,1,31,129450,458
1VXqo23YZ00,GB,Other,1,39,234946,9431
1VXqo23YZ00,US,Other,1,6,256712,9759
1VqxWNwgf5Q,GB,Other,2,4,4900171,472916
1VqxWNwgf5Q,US,Other,2,4,4956231,474558
1W--gxPF15E,IN,Gaming,1,41,1339117,2946
1WDmjUF8Fvg,GB,Reaction,1,26,49551,2548
1WDmjUF8Fvg,US,Reaction,2,22,72750,3239
1WHdHyxZuto,GB,Gaming,2,8,1188719,72437
1WHdHyxZuto,IE,Gaming,6,11,2058893,102636
1WHdHyxZuto,US,Gaming,2,5,1200893,72896
1WXRBSnLAU8,IN,Other,2,12,914915,36504
1Wfk-RXx5aQ,IN,Other,1,20,565363,62001
1X7TlmkLuQw,GB,Other,1,30,177676,2867
1XFEtAx5i7E,GB,Other,1,19,423405,62396
1XFEtAx5i7E,US,Other,1,22,434611,63041
1XMpCugfLkc,IN,Other,1,37,206683,5227
1XOQ2NlUnHY,GB,Other,1,28,75433,3756
1Xb7wVTFyd8,IN,Gaming,2,21,1006722,43320
1XyiMQPlRsU,IN,Gaming,2,18,1242454,19974
1YT3qHWUkVg,GB,Other,1,21,283990,5143
1YT3qHWUkVg,US,Other,1,33,299830,5314
1YddSDFIsk4,IN,Other,3,19,1419024,6140
1YkdKpSrVM4,GB,Movie/TV Trailer,1,20,77790,5335
1YkdKpSrVM4,US,Movie/TV Trailer,1,13,81430,5475
1ZCwQry8HM4,US,Gaming,2,36,590006,33701
1ZcDyB7F2bg,GB,Movie/TV Trailer,1,17,34874,421
1aOPK83EYNY,GB,Gaming,1,21,92872,5973
1c1nK0KgnSU,IE,Other,2,36,727815,34734
1c4vT24vJxg,IN,Reaction,1,37,171535,2998
1cfbUrxpgvo,GB,Other,1,39,35699,298
1covxcoB-kc,GB,Other,1,31,286619,7945
1cw1P4-r4qI,US,Music,1,28,29986,3050
1dWv2Y5hV-8,IN,Gaming,1,41,661794,2240
1eIHw1I6VBk,US,Other,1,43,0,0
1eW_7MUgse0,IN,Other,1,23,610083,15641
1euyHy9Mc-Q,US,Other,1,19,584813,6648
1fdBjonN17Q,IN,Movie/TV Trailer,1,31,124013,6346
1fpGg9wNM9A,GB,Movie/TV Trailer,2,19,763299,49814
1fpGg9wNM9A,US,Movie/TV Trailer,2,10,766367,49903
1g5knkhaDSc,IN,Movie/TV Trailer,2,17,750522,11147
1g9jXi8WY0I,US,Other,1,34,123031,15516
1gOwscUD6V0,IN,Other,2,33,429032,7322
1gezo8Zvt_g,US,Other,1,27,63586,2453
1hX0NfXf91w,US,Sports,1,43,0,0
1haG-AGN0Ng,GB,Other,1,33,365146,29362
1haG-AGN0Ng,US,Other,1,21,381552,30076
1ibqHrRmjdI,IN,Gaming,1,15,197246,4895
1idtuH0FKf4,IN,Music,1,31,110620,15905
1j2ohJ39rJM,GB,Other,1,8,62160,1842
1jKnI_ib8c8,GB,Other,2,1,4609864,250688
1jKnI_ib8c8,US,Other,1,10,3009496,216316
1kuGNyNmpcs,US,Sports,1,47,0,0
1ltE_gqGHVU,IN,Other,2,7,3888814,24242
1lxFXWZ0IEU,US,Other,1,3,746782,12560
1mc5CozPtJo,IN,Other,1,32,749806,23450
1mc78VRkcUA,IN,Music,2,24,424596,21153
1nYHI9Tv0vo,US,Other,1,26,0,0
1oFVaL_TVew,IN,Sports,1,44,355746,19811
1oir5yZQjik,IN,Sports,2,27,879558,11568
1oqbc4ekHv8,IN,Gaming,1,48,2006376,14558
1osdiOAkBKc,IE,Movie/TV Trailer,7,11,2388368,81705
1phxjgY6CFQ,IN,Movie/TV Trailer,1,50,160102,7421
1qRVSEPbxWg,GB,Other,1,45,281203,5391
1qaPctG6Tuk,IN,Other,2,28,98401,1115
1r-PlKRYe7c,GB,Movie/TV Trailer,2,8,459059,5838
1r-PlKRYe7c,US,Movie/TV Trailer,2,16,465223,5897
1r6GTP4PWYs,US,Gaming,1,48,269417,13706
1rjw7yD6H8Y,US,Gaming,1,16,457333,6246
1rzFcq4oOyA,US,Music,3,19,174798,12312
1sVtc5GqDnA,GB,Music,2,10,173620,6000
1t254G19GyE,IN,Other,2,10,478720,2912
1tOfeRCmYjM,US,Music,3,25,76788,4286
1tqWTWIEX2k,GB,Movie/TV Trailer,2,14,130355,8249
